,Fatalities,Confirmed Cases
0,6.0,273.0
1,6.0,281.0
2,7.0,299.0
3,7.0,349.0
4,11.0,367.0
5,14.0,423.0
6,14.0,444.0
7,15.0,484.0
8,15.0,521.0
9,18.0,555.0
10,18.0,607.0
11,21.0,665.0
12,23.0,714.0
13,25.0,784.0
14,30.0,840.0
15,30.0,906.0
16,30.0,933.0
17,33.0,996.0
18,36.0,1026.0
19,36.0,1092.0
20,40.0,1176.0
21,42.0,1279.0
22,43.0,1351.0
23,47.0,1463.0
24,50.0,1531.0
25,57.0,1703.0
26,58.0,1828.0
27,60.0,1939.0
28,64.0,2171.0
29,68.0,2335.0
30,72.0,2469.0
31,85.0,2704.0
32,90.0,2894.0
33,95.0,3224.0
34,104.0,3392.0
35,106.0,3563.0
36,109.0,3778.0
37,115.0,4033.0
38,120.0,4402.0
39,122.0,4687.0
40,127.0,4963.0
41,132.0,5226.0
42,136.0,5639.0
43,16.0,277.0
44,17.0,304.0
45,20.0,333.0
46,20.0,361.0
47,21.0,377.0
48,22.0,383.0
49,22.0,400.0
50,23.0,409.0
51,23.0,416.0
52,23.0,433.0
53,23.0,446.0
54,23.0,467.0
55,24.0,475.0
56,25.0,494.0
57,26.0,518.0
58,26.0,539.0
59,26.0,548.0
60,26.0,562.0
61,26.0,584.0
62,26.0,609.0
63,27.0,634.0
64,27.0,663.0
65,27.0,678.0
66,27.0,712.0
67,28.0,726.0
68,28.0,736.0
69,30.0,750.0
70,30.0,766.0
71,31.0,773.0
72,31.0,782.0
73,31.0,789.0
74,31.0,795.0
75,31.0,803.0
76,31.0,820.0
77,31.0,832.0
78,31.0,842.0
79,31.0,850.0
80,31.0,856.0
81,31.0,868.0
82,31.0,872.0
83,31.0,876.0
84,31.0,880.0
85,31.0,898.0
86,86.0,986.0
87,105.0,1171.0
88,130.0,1251.0
89,152.0,1320.0
90,173.0,1423.0
91,193.0,1468.0
92,205.0,1572.0
93,235.0,1666.0
94,256.0,1761.0
95,275.0,1825.0
96,293.0,1914.0
97,313.0,1983.0
98,326.0,2070.0
99,336.0,2160.0
100,348.0,2268.0
101,364.0,2418.0
102,367.0,2534.0
103,375.0,2629.0
104,384.0,2718.0
105,392.0,2811.0
106,402.0,2910.0
107,407.0,3007.0
108,415.0,3127.0
109,419.0,3256.0
110,425.0,3382.0
111,432.0,3517.0
112,437.0,3649.0
113,444.0,3848.0
114,450.0,4006.0
115,453.0,4154.0
116,459.0,4295.0
117,463.0,4474.0
118,465.0,4648.0
119,470.0,4838.0
120,476.0,4997.0
121,483.0,5182.0
122,488.0,5369.0
123,494.0,5558.0
124,502.0,5723.0
125,507.0,5891.0
126,515.0,6067.0
127,522.0,6253.0
128,529.0,6442.0
129,15.0,428.0
130,16.0,439.0
131,17.0,466.0
132,18.0,501.0
133,21.0,525.0
134,22.0,545.0
135,23.0,564.0
136,25.0,583.0
137,26.0,601.0
138,26.0,601.0
139,29.0,638.0
140,29.0,646.0
141,31.0,659.0
142,33.0,673.0
143,33.0,673.0
144,35.0,696.0
145,35.0,704.0
146,36.0,713.0
147,37.0,717.0
148,37.0,717.0
149,37.0,723.0
150,37.0,723.0
151,40.0,731.0
152,40.0,738.0
153,40.0,738.0
154,40.0,743.0
155,41.0,743.0
156,42.0,743.0
157,42.0,745.0
158,43.0,745.0
159,44.0,747.0
160,45.0,748.0
161,45.0,750.0
162,46.0,751.0
163,46.0,751.0
164,47.0,752.0
165,47.0,752.0
166,48.0,754.0
167,48.0,755.0
168,48.0,755.0
169,48.0,758.0
170,49.0,760.0
171,49.0,761.0
172,2.0,8.0
173,2.0,8.0
174,2.0,10.0
175,2.0,14.0
176,2.0,16.0
177,2.0,17.0
178,2.0,19.0
179,2.0,19.0
180,2.0,19.0
181,2.0,19.0
182,2.0,19.0
183,2.0,19.0
184,2.0,19.0
185,2.0,19.0
186,2.0,19.0
187,2.0,19.0
188,2.0,24.0
189,2.0,24.0
190,2.0,24.0
191,2.0,24.0
192,2.0,25.0
193,2.0,25.0
194,2.0,25.0
195,2.0,25.0
196,2.0,26.0
197,2.0,27.0
198,2.0,27.0
199,2.0,27.0
200,2.0,27.0
201,2.0,30.0
202,2.0,35.0
203,2.0,35.0
204,2.0,35.0
205,2.0,36.0
206,2.0,36.0
207,2.0,36.0
208,2.0,43.0
209,2.0,43.0
210,2.0,45.0
211,2.0,45.0
212,2.0,45.0
213,2.0,45.0
214,2.0,48.0
215,0.0,9.0
216,0.0,15.0
217,-0.0,15.0
218,-0.0,15.0
219,0.0,15.0
220,1.0,19.0
221,2.0,19.0
222,2.0,19.0
223,2.0,19.0
224,2.0,21.0
225,2.0,21.0
226,2.0,23.0
227,2.0,23.0
228,2.0,23.0
229,3.0,23.0
230,3.0,23.0
231,3.0,23.0
232,3.0,23.0
233,3.0,23.0
234,3.0,23.0
235,3.0,24.0
236,3.0,24.0
237,3.0,24.0
238,3.0,24.0
239,3.0,24.0
240,3.0,24.0
241,3.0,24.0
242,3.0,24.0
243,3.0,24.0
244,3.0,25.0
245,3.0,25.0
246,3.0,25.0
247,3.0,25.0
248,3.0,25.0
249,3.0,25.0
250,3.0,25.0
251,3.0,25.0
252,3.0,25.0
253,3.0,25.0
254,3.0,25.0
255,3.0,25.0
256,3.0,25.0
257,3.0,25.0
258,36.0,1133.0
259,39.0,1265.0
260,43.0,1451.0
261,44.0,1451.0
262,48.0,1554.0
263,56.0,1628.0
264,63.0,1715.0
265,72.0,1795.0
266,82.0,1975.0
267,83.0,1975.0
268,90.0,2142.0
269,97.0,2208.0
270,102.0,2277.0
271,111.0,2443.0
272,115.0,2571.0
273,123.0,2669.0
274,129.0,2758.0
275,132.0,2839.0
276,136.0,2941.0
277,147.0,3031.0
